,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_test_f1,std_test_f1,rank_test_f1
13,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200})}",1.9291030089060466,0.0906267320840372,0.6356195904230918,0.026326829456412106,1,0.32055257868383735,0.03167411936594028,5,0.6863284081362921,0.03313555007292882,2,0.32825195228585996,0.028119863728713564,1
2,"('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 100})}",0.9186901569366455,0.03845989072707502,0.6333622644585265,0.021821222352386233,2,0.32645311105508085,0.037919511664050415,1,0.6887676562993256,0.03302654916048088,1,0.3269001835652304,0.02216806328840404,2
14,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 500})}",4.834948031107585,0.300044055501774,0.6332421122040253,0.02598744466416791,3,0.32008127313414386,0.030777132547640647,6,0.68493753579543,0.0335648772363159,3,0.32578974290104756,0.02637274191724947,3
12,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})}",1.0396876494089762,0.06882380692926265,0.6326567380030873,0.028707176743779077,4,0.32154497958080464,0.03164295309375814,4,0.6827871953707659,0.03459489355476832,6,0.3255698752669297,0.02938067542142683,4
1,"('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 50})}",0.47034762700398763,0.0317808458856045,0.6320439958433307,0.03259175636658388,5,0.31626434428805095,0.037792741070653994,7,0.6814465123283668,0.03372767843163984,7,0.32327249105345474,0.03311549811328214,5
19,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 500})}",5.408008861541748,0.30071223702327465,0.6291387585403171,0.025459625804044997,6,0.2901261469338903,0.02699846998537341,13,0.6764417381431719,0.03132739358739239,11,0.3220924352639451,0.027292790018095633,8
11,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50})}",0.4926212628682454,0.01989803745927703,0.6289829228282453,0.026952072650599294,7,0.3094104427125145,0.02688270362227347,10,0.6793492964035992,0.030513124572868717,8,0.32105973305815433,0.028392557685540658,9
4,"('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 500})}",4.781625016530355,0.216460964726599,0.6276639388603414,0.027069121461368154,8,0.3229531136708737,0.03674641232602051,3,0.6847102977182347,0.03050261834614041,4,0.32212618299281004,0.029314981439772635,7
17,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100})}",1.2227686564127604,0.06305692317870909,0.627423249039245,0.02190634825581055,9,0.28620250501513755,0.02568109282523197,15,0.6741425926338873,0.02813622353658097,14,0.32021171099084417,0.024369905816534372,10
16,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50})}",0.5881569067637126,0.031189020486107267,0.6273347841778975,0.0252779756393181,10,0.2836249508850628,0.02644861877004516,16,0.6716649470248285,0.03044111165039609,15,0.31982232873043814,0.02641617979267591,12
8,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 200})}",2.0599794387817383,0.06221635023333692,0.6263646289978194,0.028334776567242027,11,0.3120091656163823,0.033284225696356515,8,0.6748025320944643,0.029916975629738524,12,0.3221754095189635,0.03206207114811747,6
18,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200})}",2.5574175993601482,0.18163890586435588,0.6257630218175587,0.018373059781996003,12,0.29000678111592965,0.0240812167499262,14,0.674750647803972,0.02992710304915716,13,0.3184528103820902,0.020042747486559827,13
9,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 500})}",5.0204695701599125,0.10404169126953222,0.625476913770203,0.0336171255450284,13,0.3103781370301529,0.03592672362097475,9,0.6768246997694545,0.033396059758479264,10,0.31993779715371434,0.036147035017900904,11
6,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50})}",0.5252367337544759,0.029314944410195796,0.625087356890546,0.03164591115519564,14,0.3080791629697872,0.03324339694613046,11,0.676960226865916,0.0339797409452389,9,0.3184348844583102,0.03371705295570695,14
3,"('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 200})}",1.7909443537394205,0.058493081703354405,0.6229262531712011,0.026605315278399995,15,0.3261343130106723,0.038644236160489315,2,0.6830414835004788,0.03451453372997581,5,0.3153749402124154,0.028958657135549768,15
7,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100})}",1.0534063975016277,0.061447454161254196,0.6198104763213489,0.03292926062085255,16,0.30459937710834917,0.03332627207836409,12,0.6701370169487132,0.03560188432411804,17,0.3133347870968473,0.03458425825182536,16
10,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 10})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 10})}",0.1125540574391683,0.0053069946015664015,0.6193864637097949,0.02003637760704877,17,0.2830100872952832,0.028025920404010397,17,0.6709129485637898,0.021792348784000153,16,0.31218548937517165,0.021429159983725826,17
